"player.surname","player.givenName","team.name","over15dissies","over20dissies","over25dissies","over30dissies","over35dissies","over40dissies"
"Hipwood","Eric","Brisbane Lions","6.25%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hogan","Jesse","GWS Giants","37.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Holman","Nick","Gold Coast Suns","25.00%","6.25%","0.00%","0.00%","0.00%","0.00%"
"Holmes","Max","Geelong Cats","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Honey","Josh","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hooker","Cale","Essendon","22.22%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hopper","Jacob","GWS Giants","100.00%","95.24%","61.90%","23.81%","9.52%","4.76%"
"Hoskin-Elliott","Will","Collingwood","55.00%","30.00%","5.00%","0.00%","0.00%","0.00%"
"Houli","Bachar","Richmond","100.00%","83.33%","33.33%","8.33%","0.00%","0.00%"
"Houston","Dan","Port Adelaide","85.71%","57.14%","28.57%","4.76%","0.00%","0.00%"
"Howard","Dougal","St Kilda","57.14%","14.29%","4.76%","0.00%","0.00%","0.00%"
"Howe","Daniel","Hawthorn","80.00%","40.00%","15.00%","10.00%","0.00%","0.00%"
"Howe","Jeremy","Collingwood","75.00%","62.50%","0.00%","0.00%","0.00%","0.00%"
"Hughes","Ethan","Fremantle","75.00%","37.50%","12.50%","0.00%","0.00%","0.00%"
"Hunt","Jayden","Melbourne","45.00%","10.00%","5.00%","0.00%","0.00%","0.00%"
"Hunter","Lachie","Western Bulldogs","95.24%","66.67%","33.33%","4.76%","0.00%","0.00%"
"Hunter","Paul","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Hurn","Shannon","West Coast Eagles","86.67%","80.00%","46.67%","6.67%","0.00%","0.00%"
"Hutchings","Mark","West Coast Eagles","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Idun","Connor","GWS Giants","28.57%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Impey","Jarman","Hawthorn","92.31%","76.92%","23.08%","7.69%","0.00%","0.00%"
"Jackson","Luke","Melbourne","38.10%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Jeffrey","Joel","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jeka","Emerson","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jenkins","Josh","Geelong Cats","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jetta","Neville","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jiath","Changkuoth","Hawthorn","87.50%","50.00%","25.00%","0.00%","0.00%","0.00%"
"Johannisen","Jason","Western Bulldogs","23.81%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jonas","Tom","Port Adelaide","54.55%","9.09%","4.55%","0.00%","0.00%","0.00%"
"Jones","Chayce","Adelaide Crows","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jones","Harrison","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jones","Jamaine","West Coast Eagles","6.67%","6.67%","0.00%","0.00%","0.00%","0.00%"
"Jones","Lachie","Port Adelaide","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jones","Liam","Carlton","26.32%","10.53%","0.00%","0.00%","0.00%","0.00%"
"Jones","Nathan","Melbourne","37.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jones","Zak","St Kilda","76.92%","61.54%","53.85%","30.77%","7.69%","0.00%"
"Jong","Lin","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Jordon","James","Melbourne","72.73%","50.00%","0.00%","0.00%","0.00%","0.00%"
"Joyce","Darragh","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Keane","Mark","Collingwood","25.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Keath","Alex","Western Bulldogs","35.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Keays","Ben","Adelaide Crows","100.00%","100.00%","72.73%","45.45%","4.55%","0.00%"
"Keeffe","Lachlan","GWS Giants","12.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kelly","Jake","Adelaide Crows","55.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Kelly","Josh","GWS Giants","100.00%","90.48%","71.43%","19.05%","4.76%","0.00%"
"Kelly","Tim","West Coast Eagles","84.21%","78.95%","63.16%","10.53%","5.26%","5.26%"
"Kelly","Will","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kemp","Brodie","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kennedy","Adam","GWS Giants","55.56%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kennedy","Josh J.","West Coast Eagles","5.56%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kennedy","Josh P.","Sydney Swans","95.24%","71.43%","38.10%","14.29%","4.76%","4.76%"
"Kennedy","Matthew","Carlton","69.23%","61.54%","23.08%","0.00%","0.00%","0.00%"
"Kent","Dean","St Kilda","42.86%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Khamis","Buku","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"King","Ben","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"King","Max","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kolodjashnij","Jake","Geelong Cats","31.58%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Koschitzke","Jacob","Hawthorn","5.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Kreuger","Nathan","Geelong Cats","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ladhams","Peter","Port Adelaide","53.33%","13.33%","0.00%","0.00%","0.00%","0.00%"
"Laird","Rory","Adelaide Crows","100.00%","100.00%","100.00%","68.18%","31.82%","9.09%"
"Lambert","Kane","Richmond","92.31%","61.54%","15.38%","0.00%","0.00%","0.00%"
"Langdon","Ed","Melbourne","100.00%","71.43%","33.33%","4.76%","0.00%","0.00%"
"Langdon","Zac","West Coast Eagles","29.41%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Langford","Kyle","Essendon","94.12%","47.06%","23.53%","0.00%","0.00%","0.00%"
"Larkey","Nick","North Melbourne","9.09%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Laverde","Jayden","Essendon","59.09%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Lazzaro","Charlie","North Melbourne","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lemmens","Sean","Gold Coast Suns","38.10%","9.52%","0.00%","0.00%","0.00%","0.00%"
"Lester","Ryan","Brisbane Lions","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lever","Jake","Melbourne","59.09%","18.18%","0.00%","0.00%","0.00%","0.00%"
"Lewis","Mitch","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Liberatore","Tom","Western Bulldogs","100.00%","76.19%","57.14%","9.52%","0.00%","0.00%"
"Lienert","Jarrod","Port Adelaide","80.00%","20.00%","0.00%","0.00%","0.00%","0.00%"
"Ling","Matthew","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lipinski","Patrick","Western Bulldogs","45.45%","36.36%","9.09%","0.00%","0.00%","0.00%"
"Lloyd","Daniel","GWS Giants","35.71%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lloyd","Jake","Sydney Swans","100.00%","100.00%","90.48%","28.57%","9.52%","0.00%"
"Lobb","Rory","Fremantle","38.46%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Logue","Griffin","Fremantle","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Long","Ben","St Kilda","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lonie","Jack","St Kilda","18.18%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lukosius","Jack","Gold Coast Suns","90.91%","50.00%","9.09%","0.00%","0.00%","0.00%"
"Lycett","Scott","Port Adelaide","50.00%","22.22%","0.00%","0.00%","0.00%","0.00%"
"Lynch","Max","Collingwood","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lynch","Tom","Adelaide Crows","83.33%","33.33%","16.67%","0.00%","0.00%","0.00%"
"Lynch","Tom J.","Richmond","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Lyons","Jarryd","Brisbane Lions","100.00%","95.45%","72.73%","27.27%","18.18%","0.00%"
"Mackay","David","Adelaide Crows","33.33%","11.11%","0.00%","0.00%","0.00%","0.00%"
"MacPherson","Darcy","Gold Coast Suns","63.64%","18.18%","0.00%","0.00%","0.00%","0.00%"
"Macrae","Finlay","Collingwood","55.56%","22.22%","0.00%","0.00%","0.00%","0.00%"
"Macrae","Jack","Western Bulldogs","100.00%","100.00%","100.00%","90.91%","45.45%","13.64%"
"Madden","James","Brisbane Lions","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Madgen","Jack","Collingwood","68.42%","15.79%","10.53%","0.00%","0.00%","0.00%"
"Maginness","Finn","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Mahony","Jack","North Melbourne","15.79%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Mansell","Rhyan","Richmond","23.08%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Markov","Oleg","Gold Coast Suns","82.35%","35.29%","0.00%","0.00%","0.00%","0.00%"
"Marshall","Rowan","St Kilda","53.85%","23.08%","7.69%","0.00%","0.00%","0.00%"
"Marshall","Todd","Port Adelaide","15.79%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Martin","Dustin","Richmond","93.75%","75.00%","31.25%","12.50%","0.00%","0.00%"
"Martin","Jack","Carlton","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Martin","Stefan","Western Bulldogs","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Martyn","Will","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Mathieson","Rhys","Brisbane Lions","50.00%","28.57%","0.00%","0.00%","0.00%","0.00%"
"May","Steven","Melbourne","80.00%","50.00%","5.00%","0.00%","0.00%","0.00%"
"Mayes","Sam","Port Adelaide","18.18%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Maynard","Brayden","Collingwood","81.82%","54.55%","31.82%","13.64%","0.00%","0.00%"
"Mayne","Chris","Collingwood","100.00%","82.35%","52.94%","5.88%","0.00%","0.00%"
"McAdam","Shane","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McCarthy","Lincoln","Brisbane Lions","22.73%","4.55%","0.00%","0.00%","0.00%","0.00%"
"McCartin","Tom","Sydney Swans","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McCluggage","Hugh","Brisbane Lions","100.00%","77.27%","54.55%","27.27%","0.00%","0.00%"
"McCreery","Beau","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McDonald","Logan","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McDonald","Luke","North Melbourne","81.82%","45.45%","9.09%","0.00%","0.00%","0.00%"
"McDonald","Oscar","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McDonald","Tom","Melbourne","55.00%","15.00%","0.00%","0.00%","0.00%","0.00%"
"McDonald-Tipungwuti","Anthony","Essendon","15.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McEntee","Jed","Port Adelaide","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McEvoy","Ben","Hawthorn","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McGovern","Jeremy","West Coast Eagles","73.33%","20.00%","0.00%","0.00%","0.00%","0.00%"
"McGovern","Mitch","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McGrath","Andrew","Essendon","85.71%","85.71%","42.86%","21.43%","0.00%","0.00%"
"McHenry","Ned","Adelaide Crows","19.05%","9.52%","0.00%","0.00%","0.00%","0.00%"
"McInerney","Justin","Sydney Swans","70.00%","35.00%","10.00%","0.00%","0.00%","0.00%"
"McInerney","Oscar","Brisbane Lions","38.10%","4.76%","0.00%","0.00%","0.00%","0.00%"
"McIntosh","Kamdyn","Richmond","58.82%","11.76%","0.00%","0.00%","0.00%","0.00%"
"McKay","Ben","North Melbourne","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McKay","Harry","Carlton","10.53%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McKenzie","Daniel","St Kilda","58.33%","25.00%","0.00%","0.00%","0.00%","0.00%"
"McKenzie","Trent","Port Adelaide","75.00%","8.33%","0.00%","0.00%","0.00%","0.00%"
"McKernan","Shaun","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McLean","Hayden","Sydney Swans","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McLean","Toby","Western Bulldogs","33.33%","33.33%","0.00%","0.00%","0.00%","0.00%"
"McNeil","Lachlan","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"McPherson","Andrew","Adelaide Crows","50.00%","16.67%","0.00%","0.00%","0.00%","0.00%"
"McStay","Daniel","Brisbane Lions","22.22%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Meek","Lloyd","Fremantle","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Melican","Lewis","Sydney Swans","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Melksham","Jake","Melbourne","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Membrey","Tim","St Kilda","52.38%","9.52%","0.00%","0.00%","0.00%","0.00%"
"Menadue","Connor","North Melbourne","42.86%","14.29%","14.29%","0.00%","0.00%","0.00%"
"Menegola","Sam","Geelong Cats","95.00%","80.00%","40.00%","15.00%","5.00%","0.00%"
"Merrett","Zach","Essendon","100.00%","100.00%","90.91%","68.18%","36.36%","4.55%"
"Miers","Gryan","Geelong Cats","66.67%","8.33%","0.00%","0.00%","0.00%","0.00%"
"Mihocek","Brody","Collingwood","14.29%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Miller","Ben","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Miller","Touk","Gold Coast Suns","100.00%","100.00%","90.48%","80.95%","28.57%","0.00%"
"Mills","Callum","Sydney Swans","100.00%","83.33%","77.78%","44.44%","5.56%","0.00%"
"Mitchell","Tom","Hawthorn","100.00%","100.00%","90.91%","68.18%","54.55%","18.18%"
"Moore","Darcy","Collingwood","61.54%","30.77%","15.38%","0.00%","0.00%","0.00%"
"Moore","Dylan","Hawthorn","60.00%","15.00%","5.00%","0.00%","0.00%","0.00%"
"Morris","Josh","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Morrison","Harry","Hawthorn","73.33%","26.67%","0.00%","0.00%","0.00%","0.00%"
"Motlop","Steven","Port Adelaide","58.82%","29.41%","5.88%","0.00%","0.00%","0.00%"
"Mumford","Shane","GWS Giants","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Mundy","David","Fremantle","95.45%","81.82%","63.64%","18.18%","4.55%","0.00%"
"Murphy","Lachlan","Adelaide Crows","26.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Murphy","Marc","Carlton","53.33%","6.67%","0.00%","0.00%","0.00%","0.00%"
"Murphy","Nathan","Collingwood","13.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Murray","Nick","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Naish","Patrick","Richmond","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Naitanui","Nic","West Coast Eagles","50.00%","22.73%","0.00%","0.00%","0.00%","0.00%"
"Nankervis","Toby","Richmond","75.00%","31.25%","0.00%","0.00%","0.00%","0.00%"
"Narkle","Quinton","Geelong Cats","50.00%","18.75%","18.75%","6.25%","0.00%","0.00%"
"Nash","Conor","Hawthorn","50.00%","37.50%","0.00%","0.00%","0.00%","0.00%"
"Naughton","Aaron","Western Bulldogs","23.81%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Neal-Bullen","Alex","Melbourne","63.64%","13.64%","4.55%","0.00%","0.00%","0.00%"
"Neale","Lachie","Brisbane Lions","100.00%","86.67%","53.33%","26.67%","6.67%","0.00%"
"Nelson","Jackson","West Coast Eagles","26.32%","10.53%","5.26%","0.00%","0.00%","0.00%"
"Newcombe","Jai","Hawthorn","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Newman","Nic","Carlton","92.86%","50.00%","14.29%","0.00%","0.00%","0.00%"
"Newnes","Jack","Carlton","68.42%","26.32%","5.26%","0.00%","0.00%","0.00%"
"Noble","John","Collingwood","90.91%","40.91%","9.09%","4.55%","0.00%","0.00%"
"O'Brien","Lochie","Carlton","60.00%","20.00%","0.00%","0.00%","0.00%","0.00%"
"O'Brien","Reilly","Adelaide Crows","50.00%","15.00%","0.00%","0.00%","0.00%","0.00%"
"O'Brien","Tim","Hawthorn","15.79%","5.26%","0.00%","0.00%","0.00%","0.00%"
"O'Connor","Mark","Geelong Cats","69.23%","15.38%","7.69%","0.00%","0.00%","0.00%"
"O'Connor","Ronin","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Halloran","Xavier","GWS Giants","35.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Meara","Jaeger","Hawthorn","94.44%","88.89%","61.11%","33.33%","11.11%","0.00%"
"O'Neill","Xavier","West Coast Eagles","12.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Riordan","Colin","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Oliver","Clayton","Melbourne","100.00%","100.00%","90.91%","63.64%","40.91%","0.00%"
"Owies","Matthew","Carlton","7.69%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Papley","Tom","Sydney Swans","45.45%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Parfitt","Brandan","Geelong Cats","90.48%","47.62%","9.52%","9.52%","0.00%","0.00%"
"Parish","Darcy","Essendon","100.00%","81.82%","72.73%","54.55%","36.36%","13.64%"
"Parker","Luke","Sydney Swans","100.00%","100.00%","72.73%","36.36%","4.55%","0.00%"
"Parker","Matthew","Richmond","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Parks","Luke","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Payne","Jack","Brisbane Lions","33.33%","11.11%","0.00%","0.00%","0.00%","0.00%"
"Pearce","Alex","Fremantle","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Peatling","James","GWS Giants","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pedlar","Luke","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pendlebury","Scott","Collingwood","88.89%","77.78%","44.44%","22.22%","0.00%","0.00%"
"Perkins","Archie","Essendon","25.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Perryman","Harry","GWS Giants","100.00%","68.75%","37.50%","0.00%","0.00%","0.00%"
"Petracca","Christian","Melbourne","100.00%","100.00%","77.27%","40.91%","9.09%","0.00%"
"Petrevski-Seton","Sam","Carlton","50.00%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Petruccelle","Jack","West Coast Eagles","11.76%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Petty","Harrison","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Phillips","Andrew","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Phillips","Tom","Hawthorn","86.36%","36.36%","9.09%","0.00%","0.00%","0.00%"
"Phillips","Will","North Melbourne","18.75%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pickett","Kysaiah","Melbourne","22.73%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pickett","Marlion","Richmond","55.56%","16.67%","0.00%","0.00%","0.00%","0.00%"
"Pittonet","Marc","Carlton","23.08%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Plowman","Lachie","Carlton","26.32%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Polec","Jared","North Melbourne","40.00%","40.00%","0.00%","0.00%","0.00%","0.00%"
"Poulter","Caleb","Collingwood","72.73%","18.18%","0.00%","0.00%","0.00%","0.00%"
"Powell","Tom","North Melbourne","61.54%","15.38%","7.69%","0.00%","0.00%","0.00%"
"Powell","Wil","Gold Coast Suns","68.18%","45.45%","9.09%","0.00%","0.00%","0.00%"
"Powell-Pepper","Sam","Port Adelaide","64.29%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Prestia","Dion","Richmond","88.89%","66.67%","55.56%","11.11%","0.00%","0.00%"
"Prior","Jaxon","Brisbane Lions","5.88%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Quaynor","Isaac","Collingwood","70.00%","35.00%","10.00%","0.00%","0.00%","0.00%"
"Ralphsmith","Hugo","Richmond","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rampe","Dane","Sydney Swans","78.95%","36.84%","5.26%","0.00%","0.00%","0.00%"
"Rankine","Izak","Gold Coast Suns","27.78%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rantall","Jay","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ratugolea","Esava","Geelong Cats","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Redden","Jack","West Coast Eagles","94.44%","94.44%","50.00%","27.78%","5.56%","0.00%"
"Redman","Mason","Essendon","66.67%","42.86%","9.52%","4.76%","0.00%","0.00%"
"Reeves","Ned","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Sam","Sydney Swans","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Sam J.","GWS Giants","7.14%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Zach","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Riccardi","Jake","GWS Giants","22.22%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rich","Daniel","Brisbane Lions","100.00%","95.45%","72.73%","13.64%","0.00%","0.00%"
"Richards","Ed","Western Bulldogs","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ridley","Jordan","Essendon","90.48%","61.90%","33.33%","9.52%","4.76%","0.00%"
"Riewoldt","Jack","Richmond","13.64%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Rioli","Daniel","Richmond","36.84%","15.79%","0.00%","0.00%","0.00%","0.00%"
"Rioli","Maurice","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rivers","Trent","Melbourne","54.55%","13.64%","0.00%","0.00%","0.00%","0.00%"
"Robertson","Deven","Brisbane Lions","46.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Robinson","Mitch","Brisbane Lions","65.00%","50.00%","20.00%","5.00%","0.00%","0.00%"
"Rockliff","Tom","Port Adelaide","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rohan","Gary","Geelong Cats","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ronke","Ben","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rosas","Malcolm","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ross","Jack","Richmond","33.33%","13.33%","6.67%","0.00%","0.00%","0.00%"
"Ross","Sebastian","St Kilda","90.00%","60.00%","20.00%","5.00%","0.00%","0.00%"
"Rotham","Josh","West Coast Eagles","68.42%","21.05%","0.00%","0.00%","0.00%","0.00%"
"Roughead","Jordan","Collingwood","28.57%","9.52%","0.00%","0.00%","0.00%","0.00%"
"Rowbottom","James","Sydney Swans","68.75%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Rowe","James","Adelaide Crows","26.32%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Rowell","Matt","Gold Coast Suns","41.67%","8.33%","0.00%","0.00%","0.00%","0.00%"
"Rozee","Connor","Port Adelaide","68.42%","21.05%","0.00%","0.00%","0.00%","0.00%"
"Ruscoe","Trey","Collingwood","33.33%","33.33%","0.00%","0.00%","0.00%","0.00%"
"Ryan","Liam","West Coast Eagles","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ryan","Luke","Fremantle","100.00%","63.16%","26.32%","0.00%","0.00%","0.00%"
"Ryan","Samson","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ryder","Paddy","St Kilda","8.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Saad","Adam","Carlton","86.36%","45.45%","13.64%","0.00%","0.00%","0.00%"
"Salem","Christian","Melbourne","95.24%","80.95%","61.90%","19.05%","4.76%","0.00%"
"Schache","Josh","Western Bulldogs","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Schoenberg","Harry","Adelaide Crows","77.27%","36.36%","4.55%","4.55%","0.00%","0.00%"
"Schultz","Lachie","Fremantle","15.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Scott","Anthony","Western Bulldogs","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Scott","Bailey","North Melbourne","41.18%","11.76%","5.88%","0.00%","0.00%","0.00%"
"Scrimshaw","Jack","Hawthorn","85.00%","60.00%","30.00%","5.00%","0.00%","0.00%"
"Seedsman","Paul","Adelaide Crows","100.00%","95.45%","63.64%","18.18%","9.09%","0.00%"
"Selwood","Joel","Geelong Cats","90.48%","71.43%","52.38%","9.52%","4.76%","0.00%"
"Serong","Caleb","Fremantle","100.00%","59.09%","31.82%","22.73%","9.09%","0.00%"
"Setterfield","Will","Carlton","75.00%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Sexton","Alex","Gold Coast Suns","23.81%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Sharman","Cooper","St Kilda","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sharp","Harry","Brisbane Lions","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sharp","Jeremy","Gold Coast Suns","77.78%","44.44%","22.22%","22.22%","0.00%","0.00%"
"Sheed","Dom","West Coast Eagles","95.45%","86.36%","54.55%","31.82%","13.64%","4.55%"
"Sheppard","Brad","West Coast Eagles","70.00%","35.00%","5.00%","0.00%","0.00%","0.00%"
"Shiel","Dylan","Essendon","85.71%","42.86%","0.00%","0.00%","0.00%","0.00%"
"Shiels","Liam","Hawthorn","95.24%","66.67%","19.05%","0.00%","0.00%","0.00%"
"Shipley","Nick","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sholl","Lachlan","Adelaide Crows","68.42%","42.11%","10.53%","5.26%","0.00%","0.00%"
"Short","Jayden","Richmond","100.00%","95.45%","50.00%","13.64%","0.00%","0.00%"
"Shuey","Luke","West Coast Eagles","100.00%","57.14%","42.86%","14.29%","0.00%","0.00%"
"Sidebottom","Steele","Collingwood","95.24%","90.48%","47.62%","14.29%","0.00%","0.00%"
"Sier","Brayden","Collingwood","42.86%","28.57%","0.00%","0.00%","0.00%","0.00%"
"Silvagni","Jack","Carlton","53.33%","13.33%","6.67%","0.00%","0.00%","0.00%"
"Simpkin","Jy","North Melbourne","100.00%","95.45%","63.64%","36.36%","4.55%","0.00%"
"Simpson","Sam","Geelong Cats","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sinclair","Callum","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
